No,JSON項目名,項目名,諸元（テーブル・項目）,加工内容,区分,KRA007該当項目,備考
109,supply_point_context.supply_usage_address_context.postal_customer_name,使用者_お客さま名(ハガキ),法人は accounts_account.billing_name（未設定時は AccountUserDetails.kanji_name／kana_name）／個人は主契約者の AccountUserDetails.kanji_name（未設定時は kana_name）,全角変換。敬称「様」は付与しない,参照切替あり,封書検針票IF No.35.0（共通部_使用者_お客さま名）,敬称「様」を付与しない実装のため、KRA007 No.35.0 のsample（例）有）○○　様）と不一致
110,supply_point_context.next_reading_date,次回検針予定日,market_jpn_gas_gassupplypoint の検針スケジュール,YYYY-MM-DD形式に変換。電気のみ契約・最終検針・スケジュール未取得の場合はnull,加工あり,封書検針票IF No.33.0（共通部_請求日）,
111,payment_context.payment_amount,ご請求金額（円）,billing_totals_context.gross_amount と同値,円未満切り捨てで整数に変換,加工あり,封書検針票IF No.29.0（共通部_請求金額）,
112,payment_context.payment_method,お支払い方法,支払指示の支払種別,支払種別を区分値表で口座振替／カード払い／標準払込書／電子請求に変換。支払予定または支払指示がない場合はnull,区分値変換,封書検針票IF No.30.0（共通部_支払方法別文言１） / 封書検針票IF No.31.0（共通部_支払方法別文言２）,中間コンテキストにある payment_method_title は本JSONには出力されない
113,payment_context.payment_scheduled_date,口座振替予定日 (only for direct debit),PaymentSchedule の口座振替予定日,YYYY-MM-DD形式に変換。非営業日の場合は東京ガス様の翌営業日に繰り下げ。支払方法が口座振替以外の場合はnull,加工あり,,
114,printing_fee_context.tax_rate,税額 0.1 for 10% tax rate,billing_accountcharge.posting_date 時点の標準税率,標準税率を100で除して出力（10%は0.1）。整数値は整数、端数がある場合は末尾0を除去して出力。帳票発行手数料の請求がない場合はブロック全体がnull,加工あり,左欄_中欄_右欄 手数料／左欄_税率,
115,printing_fee_context.total_gross_amount,請求金額,帳票発行手数料に該当する billing_accountcharge.gross_amount,明細の合計を円未満切り捨てで整数に変換,加工あり,左欄_中欄_右欄 手数料／右欄_請求金額,
116,printing_fee_context.charges[].gross_amount,"請求金額: 1,100円",billing_accountcharge.gross_amount,円未満切り捨てで整数に変換,テーブル直結,左欄_中欄_右欄 手数料／右欄_手数料金額,
117,printing_fee_context.charges[].net_amount,"税別金額: 1,000円",billing_accountcharge.net_amount（未設定時は0）,円未満切り捨てで整数に変換,テーブル直結,,
118,printing_fee_context.charges[].tax_amount,消費税額: 100円,billing_accountcharge.sales_tax_amount（未設定時は0）,円未満切り捨てで整数に変換,テーブル直結,,
119,printing_fee_context.charges[].tax_rate,0.1 for 10% tax rate,printing_fee_context.tax_rate と同値,整数値は整数、端数がある場合は末尾0を除去して出力,加工あり,,
120,printing_fee_context.charges[].reason_code,理由コード,billing_accountcharge.reason,そのまま出力,テーブル直結,,
121,printing_fee_context.charges[].display,表示用理由,billing_accountcharge.display,そのまま出力,テーブル直結,左欄_中欄_右欄 手数料／右欄_手数料テキスト,本項目のみ billing_accountcharge.display をそのまま参照。charge_contexts[].display はコード内の理由定義を参照するため出所が異なる
122,printing_fee_context.charges[].applied_date,適用日: XXXX年XX月XX日,billing_accountcharge.applied_date,YYYY-MM-DD形式に変換,テーブル直結,,
123,printing_fee_context.charges[].note,手数料明細_備考,DBに諸元なし（コード内定義）,手数料明細では値を設定せず、常にnullを出力,固定値,,charge_contexts[]と同一のクラスを使用しているため、手数料明細にもキーのみ出力されます。値は常にnullで、KRA007に対応する項目はありません。
124,printing_fee_context.charges[].transaction_date,手数料明細_取引年月日,DBに諸元なし（コード内定義）,手数料明細では値を設定せず、常にnullを出力,固定値,,charge_contexts[]と同一のクラスを使用しているため、手数料明細にもキーのみ出力されます。値は常にnullで、KRA007に対応する項目はありません。
125,notice_contexts[].code,Unique code for the notice,DBに諸元なし（コード内定義）,お知らせ種別のコードを出力。補助金のお知らせは年月日を含むコードに整形。コード重複を除外し優先度の昇順に整列,区分値変換,,KRA007 封書検針票IF No.182.0（メッセージ）は親要素 notice_contexts を指定しており、個別項目の指定はなし。お知らせの種別・文言・優先度はいずれもコード内定義で、DBに一覧テーブルなし
126,notice_contexts[].message,Message to the customer,DBに諸元なし（コード内定義）。補助金のお知らせのみ単価・対象月を MetiCreditPeriod 系テーブルから取得,コード内の定型文をそのまま出力。補助金の数値部分は全角に変換,区分値変換,,文言の変更はDBではなくコード改修が必要
127,notice_contexts[].priority,Priority order of the notice defined by the client,DBに諸元なし（コード内定義）,コード内定義の整数（定義表の値の10倍）。昇順の並び替えキー,区分値変換,,
128,charge_contexts[].gross_amount,"請求金額: 1,100円",billing_accountcharge.gross_amount,円未満切り捨てで整数に変換,テーブル直結,,付帯料金・その他料金・延滞利息を1つの配列に結合して出力。中間コンテキストでは別々の配列
129,charge_contexts[].net_amount,"税別金額: 1,000円",billing_accountcharge.net_amount（未設定時は0）,円未満切り捨てで整数に変換,テーブル直結,,
130,charge_contexts[].tax_amount,消費税額: 100円,billing_accountcharge.sales_tax_amount（未設定時は0）,円未満切り捨てで整数に変換,テーブル直結,,
131,charge_contexts[].tax_rate,0.1 for 10% tax rate,付帯料金はTG様側から連携（billing_accountcharge の metadata 内 tax_rate）／それ以外は計上日時点の標準税率を100で除した値、消費税額がない場合は0,整数値は整数、端数がある場合は末尾0を除去して出力,参照切替あり,,付帯料金の税率はTG様から連携されたメタデータを参照
132,charge_contexts[].reason_code,理由コード: LATE_PAYMENT_INTEREST,billing_accountcharge.reason に対応する料金理由定義のコード,そのまま出力,区分値変換,,
133,charge_contexts[].display,表示用理由: 延滞利息,billing_accountcharge.reason に対応する料金理由定義の表示名,理由定義から日本語表示名を出力,区分値変換,,billing_accountcharge.display の値ではなくコード内の理由定義を参照
134,charge_contexts[].applied_date,適用日: XXXX年XX月XX日,billing_accountcharge.applied_date,YYYY-MM-DD形式に変換,テーブル直結,,
135,charge_contexts[].note,お知らせ: 対象年月日,延滞利息の対象となった検針日,延滞利息のみ「対象年月日 M月D日」の形式で出力。それ以外は空文字またはnull,加工あり,,
136,charge_contexts[].transaction_date,取引年月日: XXXX年XX月XX日,TG様側から連携（billing_accountcharge の metadata 内 transaction_date）,YYYY年M月D日形式に変換（月日はゼロ埋めなし）。付帯料金以外は空文字,TG連携値,,値の起点はTG様から連携されたメタデータ。Kraken側で算出した日付ではない
137,credit_contexts[].gross_amount,請求金額: -55円,billing_accountcredit.gross_amount,符号を反転したうえで円未満切り捨てで整数に変換,加工あり,,付帯クレジットとその他クレジット（取消分を除く）を1つの配列に結合して出力。中間コンテキストでは別々の配列
138,credit_contexts[].net_amount,税別金額: -50円,billing_accountcredit.net_amount（未設定時は0）,符号を反転したうえで円未満切り捨てで整数に変換,加工あり,,
139,credit_contexts[].tax_amount,消費税額: -5円,billing_accountcredit.sales_tax_amount（未設定時は0）,符号を反転したうえで円未満切り捨てで整数に変換,加工あり,,
140,credit_contexts[].tax_rate,0.1 for 10% tax rate,付帯クレジットはTG様側から連携（billing_accountcredit の metadata 内 tax_rate）／それ以外は計上日時点の標準税率を100で除した値、消費税額がない場合は0,整数値は整数、端数がある場合は末尾0を除去して出力,参照切替あり,,付帯クレジットの税率はTG様から連携されたメタデータを参照
141,credit_contexts[].reason_code,理由コード: GAS_DIRECT_DEBIT_DISCOUNT,billing_accountcredit.reason に対応するクレジット理由定義のコード,そのまま出力,区分値変換,,
142,credit_contexts[].display,表示用理由: 口座割引額,billing_accountcredit.reason に対応するクレジット理由定義の表示名,理由定義から日本語表示名を出力。付帯クレジットは返金を示す接尾辞を除去,区分値変換,,
143,credit_contexts[].applied_date,適用日: XXXX年XX月XX日,billing_accountcredit.applied_date,YYYY-MM-DD形式に変換,テーブル直結,,
144,credit_contexts[].note,お知らせ: 対象年月日 X月X日,延滞金の取消の場合のみ、取消対象の延滞金を計上したステートメントの検針日（同一燃料）を参照,「対象年月日 M月D日」の形式で出力します。月日のゼロ埋めはありません。検針日が取得できない場合はnull、延滞金の取消以外のクレジットでは空文字を出力します。,加工あり,,延滞金の取消をクレジットとして出力する対応にあわせて追加された項目です。8月28日にお渡しした一覧には含まれておりません。
145,credit_contexts[].transaction_date,取引年月日: XXXX年XX月XX日,TG様側から連携（billing_accountcredit の metadata 内 transaction_date）,YYYY年M月D日形式に変換（月日はゼロ埋めなし）。付帯クレジット以外は空文字,TG連携値,,値の起点はTG様から連携されたメタデータ。Kraken側で算出した日付ではない
146,credit_contexts[].show_positive_amount,,DBに諸元なし（コード内定義）,ステートメント出力時は値を設定しないため、現時点では常にfalseを出力します。,固定値,,クレジット明細で同一のクラスを使用しているため、キーのみ出力されます。KRA007に対応する項目はありません。
